id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,lyrics
6P6U1Q7O5zaqI3ePiIWQZs,Grief (Prelude),5,False,358293,Melanfonie,2017-01-31,"Ema Jolly, Emika, Prague Metropolitan Orchestra, Paul Batson, Michaela Šrůmová","3OR3u3d5lnb9h5Af2khD0I, 50Gx1SNB4vH2V7peIiYD4S, 6E8QP5NpjbICoGef7oKwty, 3QQK5czm7J4Nz8znGv0gnJ, 4ydc9o0h9J4SPkVnl4zSNr",
1ge7on5VtzWxCVU5tBQghN,Damn Your Eyes,22,False,305566,Damn Your Eyes,2016-04-29,Russell Sinclair,5QUJH0BU1Vlasm6kJjfBFI,
62vx785rVVSZu8IjAtA98e,All I Want,0,False,233613,As Day Follows Night,2009-01-01,Sarah Blasko,75jU2q0uEWzSIlqRJtedJV,"9 ContributorsAll I Want Lyrics
I don't want another lover
So don't keep holding out your hands
There's no room beside me
I'm not looking for romance
Say, ""I'll be here, I'll be here""
But there's no way you'd understand

All I want
All I want
All I want
'Cause I don't even know myself

I don't want another partner
So don't try and break the spell
I can't even understand me
So don't think that you can help
When I say things and see things
There's no way on earth to tell

What I want
What I want
What I want
When I don't even know myself

No one wants to be lonely
But what am I to do?
I'm just trying to be honest
I don't want to hurt you too
When I'll be there I'll be there
I know I sound confused

But all I want
All I want
All I want
All I want
All I want
Say all I want
All I want is to one day come to know myself"
5jfgilRtwvpSfZyKkqIGNW,Crimson & Clover - Long Version,43,False,332760,Crimson & Clover,1968-01-01,Tommy James & The Shondells,01hRNr3yF5bYnPq4wZ88iI,
0pEfflISa8gdx6fg4nT1DE,Black Snake Moan,0,False,244600,Black Snake Moan,2015-10-01,Samuel L. Jackson,7gusMvSJRCggGZPV5SDN9K,"3 ContributorsBlack Snake Moan Lyrics
I ain't played for nobody in years
I wanted me some kids, a whole mess of 'em
But for Rose, my wife, kids is for another time
Then one spring
I seent the change in her
Her breasts started swelling up
Couple of mornings, hear her in the bathroom throwing up
I done seen it in other women before
So I knew
Then one day
Rose said she had to go to Jackson
Visit her folks
And she ain't wanted me to go
So I stayed here
You know how they talk about a woman having that glow?
She didn't have it no more
She done cut it out
Got rid of it
That voice in my head
Every time I think it's gone
It comes howling back

Calls me when I'm ailing
When I can't find my way home
Lost in the pines
I calls it the Black Snake Moan

Mmmmmmmmmm
Black snake all in my room
Mmmmmmmmmm
Black snake all in my room
Some pretty mamma
Better get this black snake soon
Black snake is evil
Black snake is all I see
Black snake is evil
Black snake is all I see
Woke up this morning
Black snake moved in on me"
3zV5iYPyZUgcaFCcPem3ZN,Losing My Religion,37,False,307066,You Don't Know Jacq,2008-11-04,Jacqui Naylor,3nlIdbDxxURaEHNdSrkEG5,"1 ContributorLosing My Religion LyricsLife, it's bigger
It's bigger than you
And you are not me
The lengths that I would go to
The distance in your eyes
Oh no, I've said too much
I set it up
That's me in the corner
That's me in the spotlight
Losing my religion
Trying to keep up with you
And I don't know if I can do it
Oh no, I've said too much
Haven't said enough
Thought that I heard you laughing
Thought that I heard you sing
Think I thought I saw you try
Every whisper
Every waking hour
Choosing my confessions
Trying to keep an eye on you
Like a hurt, lost and blinded fool, fool
Oh no, I said too much
Set it up

Consider this
Consider this, the hint of the century
Consider this, the slip
That brought me to my knees, has failed
What if all these fantasies come
Flailing around
And now I have said too much
Thought that I heard you laughing
Thought that I heard you sing
I think I thought I saw you try
But that was just a dream
That was just a dream
'Cause that's me in the corner
That's me in the spotlight
Losing my religion, yeah
Trying to keep keep up with you
And I don't know if I can do it
Oh no, I've said too much
Or maybe I haven't said enough
Thought that I heard you laughing
Thought that I heard you sing
I think I thought I saw you try

That was just a dream
Try
That was just a dream"
3M2bD9SMYnJIPdrTKUnBd3,I Know It's Over - 2011 Remaster,73,False,349186,The Queen Is Dead,1986-06-16,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,
1gpEvytk4pUtLt8VisYqzx,Matilda,0,False,228720,An Awesome Wave (Deluxe Version),2012-10-22,alt-J,3XHO7cRUPCLOr6jwp8vsx5,"49 ContributorsTranslationsFrançaisMatilda Lyrics
This is from
This is from
This is from Matilda

Just like Johnny Flynn said
""The breath I've taken and the one I must"" to go on
Put the grenade pin in your hand, so you understand who's boss
My defeat sleeps top-to-toe with her success

Oh, this is from
This is from
This is from Matilda

And she needs you
This is from Matilda
And she needs you
This is from Matilda

Just like Johnny Flynn said
""The breath I've taken and the one I must"" to go on
Put the grenade pin in your hand, so you understand who's boss
My defeat sleeps top-to-toe with her success

Oh, this is from
This is from
This is from Matilda

And she needs you
This is from Matilda
And she needs you
This is from Matilda
And she needs you
This is from Matilda

Elle a besoin de toi
Cela vient de Matilda

And she needs you
This is from Matilda
And she needs you
This is from Matilda
And she needs you
This is from Matilda
And she needs you (This is from Matilda)
This is from Matilda

This is from Matilda
This is from Matilda
Matilda
Matilda
Matilda"
1I293D9R2dpbu3tzAtNgcL,Across The Universe - Remastered,0,False,229786,The Beatles 1967 - 1970 (Remastered),1973-04-02,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,
1gZmLcA6IqI4YGhKIfFO8E,The Angry River (feat. Father John Misty and S.I. Istwa) [Theme From the HBO® Series True Detective],0,False,175153,The Angry River (feat. Father John Misty and S.I. Istwa) [From the HBO® Series True Detective],2014-03-09,"The Hat, Father John Misty, S.I. Istwa","0UiSKMMZHzAvON7xNNeTnh, 2kGBy2WHvF0VdZyqiVCkDT, 23DkZl7xuseePWZqXE1qUr",
2NMSkLrlH4ZBpeKzEM0P73,Not Running,7,False,283973,Outside Our Gates,2008-01-01,Liz Durrett,5jdExtboQGiHQU2073HMCs,"1 ContributorNot Running LyricsBirds lifted away all that we gave them
Now summer's parade quietly fades on a reel
And I pulled down the lights from every last tiny limb
Tucked away signs that we'd been here
Though some may say to live this way is hiding
Not hiding, no, we are unashamed
Or running, not running, we are unafraid
Letters await, reading them late in the day
Eloquent phrase turns my heart in its cage
And how can I be so hopeless and then
So full of hope I might implode with it?
Though some may say to live this way is hiding
Not hiding, no, we are unashamed
Or running, not running, we are unafraid"
