id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,artist_genres,lyrics
7f6AAixCrVar1ZY7RPHDfM,Cry Me A River,61,False,178573,Julie Is Her Name,1955-12-01,Julie London,3qUMmh5biaB5hqpF4LqS3m,"jazz, vocal jazz","14 ContributorsCry Me a River Lyrics
Now you say you're lonely
You cry the whole night through
Well, you can cry me a river
Cry me a river
I cried a river over you

Now you say you're sorry
For being so untrue
Well, you can cry me a river
Cry me a river
I cried a river over you

You drove me, nearly drove me out of my head
While you never shed a tear
Remember, I remember all that you said
Told me love was too plebeian
Told me you were through with me

And now you say you love me
Well, just to prove you do
Come on and cry me a river
Cry me a river
I cried a river over you

I cried a river over you
I cried a river over you
I cried a river over you"
5DIVWgTeJ2fPIxaY9e7ZKn,I've Got A Crush On You,58,False,196440,Ella Sings Gershwin,1950-09-11,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,"jazz, jazz blues, christmas, vocal jazz, swing music, big band","9 ContributorsI’ve Got a Crush On You Lyrics
Mmm, I've got a crush on someone, guess who?

I've got a crush on you, sweetie pie
All the day and nighttime, hear me sigh
I never had the least notion
That I could fall with so much emotion
Could you coo? Could you care?
For a cunning cottage we could share
The world will pardon my mush
'Cause I've got a crush
My baby, on you

How glad a million laddies
From millionaires to caddies
Would be to capture me
But you had such persistence
You wore down my resistance
I fell and it was swell
You're my big and brave and handsome Romeo
How I won you I shall never, never know
It's not that you're attractive
But, oh, my heart grew active
When you came into view

I've got a crush on you, sweetie pie
All the day and nighttime, hear me sigh
I never had the least notion
That I could fall with so much emotion
Could you coo? Could you care?
For a cunning cottage we could share
The world will pardon my mush
'Cause I've got a crush
My baby, on you"
4smkJW6uzoHxGReZqqwHS5,I'll Be Seeing You,69,False,211533,Billie Holiday,1957-01-01,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,"jazz, jazz blues, vocal jazz, big band","16 ContributorsI’ll Be Seeing You Lyrics
I'll be seeing you
In all the old familiar places
That this heart of mine embraces
All day and through
In that small café
The park across the way
The children's carousel
The chestnut trees, the wishing well

I'll be seeing you
In every lovely summer's day
In everything that's light and gay
I'll always think of you that way
I'll find you in the morning sun
And when the night is new
I'll be looking at the moon
But I'll be seeing you

I'll be seeing you
In every lovely summer's day
In everything that's light and gay
I'll always think of you that way
I'll find you in the morning sun
And when the night is new
I'll be looking at the moon
But I'll be seeing you"
6gbv4ESVucR3K9jSlRVNn3,You Send Me,49,False,164675,The Best of Sam Cooke,1962,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,"motown, soul","17 ContributorsYou Send Me LyricsOriginally credited to Sam Cooke’s brother L.C. Cook (the family name’s original spelling), this song topped both Billboard’s R&B Records chart and Hot 100.
Darling, you send me
I know you send me
Darling, you send me
Honest you do, honest you do
Honest you do, whoa-oh

You thrill me
I know you, you, you thrill me
Darling you, you, you, you thrill me
Honest you do

At first I thought it was infatuation
But woo, it's lasted so long
Now I find myself wanting
To marry you and take you home, whoa-oh

You, you, you, you send me
I know you send me
I know you send me
Honest you do

(You send me)
Whoa, whenever I'm with you
(You send me)
I know, I know, I know when I'm near you
(You send me)
Mhm, mhm, honest you do, honest you do
Whoa, I know
(You send me)
I know, I know, I know, when you hold me
(You send me)
Whoa-oh, whenever you kiss me
(You send me)
Mhm, mhm, honest you do

At first I thought it was infatuation
But woo, it's lasted so long
Now I find myself wanting
To marry you and take you home

I know, I know, I know, you send me
I know you send me
Whoa-oh, you, you, you, you send me
Honest you do (Do, do, do, do)"
7vmC7JVs2lGtdaE3vg8aPp,P.S. I Love You,49,False,214826,The Complete Billie Holiday On Verve 1945 - 1959,1992-09-29,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,"jazz, jazz blues, vocal jazz, big band","3 ContributorsP.S. I Love You LyricsDear, I thought I drop a line
The weather is cool
The folks are fine
I'm in bed each night at nine
PS I love you
Yesterday we had some rain
But all in all I can't complain
Was it dusty on the train
PS I love you
Write to the Brown's just as soon as you're able
They came around to call
I burned a hole in the dining room table
Now let me think; I guess that's all
Nothing else for me to say
And so I'll close, but by the way
Everybody's thinking of you
P.S. I love you"
3J2WUEn6oFN8eDPZov7w9I,deep in it,67,False,154862,deep in it,2023-03-10,"berlioz, Ted Jasper","3k3RY7kR8f0vp8Cq27P141, 4PfXiTCDXTYEobjXjcRFNW","jazz house, jazz",
5vMTfupz6z7wlNiz0xVb4j,"It's A Man's, Man's, Man's World - Single Version / Mono",62,False,166693,The 50th Anniversary Collection,2003-01-01,James Brown,7GaxyUddsPok8BuhxN6OUW,"soul, funk, motown",
3QyPsavxL681NX7SPVGd5T,Sway (Quien Sera),59,False,165133,"Dean Martin: The Capitol Recordings, Vol. 5 (1954)",1954,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,"swing music, big band, christmas, adult standards","24 ContributorsSway (Quien Sera) Lyrics
When marimba rhythms start to play
Dance with me, make me sway
Like a lazy ocean hugs the shore
Hold me close, sway me more
Like a flower bending in the breeze
Bend with me, sway with ease
When we dance you have a way with me
Stay with me, sway with me

Other dancers may be on the floor
Dear, but my eyes will see only you
Only you have the magic technique
When we sway I go weak

I can hear the sound of violins
Long before it begins
Make me thrill as only you know how
Sway me smooth, sway me now


Other dancers may be on the floor
Dear, but my eyes will see only you
Only you have the magic technique
When we sway I go weak

I can hear the sound of violins
Long before it begins
Make me thrill as only you know how
Sway me smooth, sway me now
You know how
Sway me smooth, sway me now"
1kPBT8S2wJFNAyBMnGVZgL,I'd Rather Go Blind,78,False,156653,Tell Mama,1968-04-18,Etta James,0iOVhN3tnSvgDbcg25JoJb,"jazz blues, blues, soul blues, soul, vocal jazz","25 ContributorsI’d Rather Go Blind Lyrics“I’d Rather Go Blind” is a song written by Ellington Jordan and co-credited to Billy Foster. It was first recorded by Etta James in 1967, released in 1968, and has subsequently become regarded as a blues and… Read More 
Something told me it was over
When I saw you and her talking
Something deep down in my soul said, ""Cry, girl"" (Cry, cry)
When I saw you and that girl, walking around, ooh

I would rather, I would rather go blind boy
Than to see you walk away from me child, and all

So you see, I love you so much
That I don't want to watch you leave me baby
Most of all, I just don't, I just don't want to be free no
I was just, I was just, I was just sitting here thinking
Of your kiss and your warm embrace, yeah
When the reflection in the glass that I held to my lips now baby
Revealed the tears that was on my face, yeah

And baby, baby, I would rather, I would rather be blind boy
Than to see you walk away, see you walk away from me, yeah
Baby, baby, baby, I'd rather be blind now"
5BLr7EEgi2JdKbMbYjFXas,It's A Lovely Day Today,53,False,148266,Ella Fitzgerald Sings The Irving Berlin Song Book,1958-01-01,"Ella Fitzgerald, Paul Weston And His Orchestra","5V0MlUE1Bft0mbLlND7FJz, 3EVyH5tLgdq62aXTdKfzey","jazz, jazz blues, christmas, adult standards, vocal jazz, swing music, big band",
